resp_id,a_hhid,plot,plot_id,district,village,treatment,plot_gpslatitude,plot_gpslongitude,plot_gpsaltitude,plot_gpsaccuracy,mon_paddy,harvested,manage_status,manage_type1,manage_type2,burnt,burn_technique,burn_technique_1,burn_technique_2,burn_technique_3,burn_technique_4,burn_technique_5,burn_technique_6,burn_technique_7,sowed,comments,village_id,spotcheck_date
103801251,10380125,1,p1,Bathinda,Behman Diwana,PES 800/acres,30.21960258,74.84542847,190.3000031,4.099999905,Yes,Yes,Stubble managed,Created bales,,0,,,,,,,,,Yes,,1027,11/13/19
103801451,10380145,1,p1,Bathinda,Behman Diwana,PES 800/acres,30.2289238,74.8443985,195.1999969,5,Yes,Yes,Stubble managed,Burnt,,1,6,0,0,0,0,0,1,0,Yes,,1027,11/13/19
104200311,10420031,2,p2,Bathinda,Bhagi Bandar,PES 800/acres,30.03930664,75.07675934,192,4.699999809,Yes,Yes,Stubble managed,Burnt,,1,2 3,0,1,1,0,0,0,0,No,,1030,11/10/19
104200371,10420037,3,p3,Bathinda,Bhagi Bandar,PES 800/acres,30.00455856,75.08576202,194.6000061,4.099999905,Yes,Yes,Stubble management ongoing,,Creating bales,0,,,,,,,,,,,1030,11/10/19
104200511,10420051,2,p2,Bathinda,Bhagi Bandar,PES 800/acres,30.05570793,75.06625366,199.8999939,4.099999905,Yes,Yes,Stubble managed,Burnt,,1,5 6,0,0,0,0,1,1,0,No,,1030,11/15/19
104201241,10420124,1,p1,Bathinda,Bhagi Bandar,PES 800/acres,30.03575134,75.08141327,192.1000061,4.199999809,Yes,Yes,Stubble managed,Created bales,,0,,,,,,,,,Yes,,1030,11/13/19
104201921,10420192,1,p1,Bathinda,Bhagi Bandar,PES 800/acres,30.02626038,75.04706573,191.1000061,4.400000095,Yes,Yes,Stubble managed,Burnt,,1,6,0,0,0,0,0,1,0,Yes,,1030,11/15/19
104202141,10420214,1,p1,Bathinda,Bhagi Bandar,PES 800/acres,30.01677132,75.09030914,191.6999969,3.900000095,Yes,Yes,Stubble managed,Used CRM machine,,0,,,,,,,,,Yes,,1030,11/10/19
104300051,10430005,2,p2,Bathinda,Bhagta Bhai Ka,PES + 50% UCT 800/acres,30.48316193,75.10555267,196.8999939,7.900000095,Yes,Yes,Stubble managed,Created bales,,0,,,,,,,,,Yes,,1031,11/14/19
104700811,10470081,1,p1,Bathinda,Bhai Rupa Pati Kanger,Control,30.44541359,75.20715332,207.1000061,4.800000191,Yes,Yes,Stubble managed,Burnt,,1,2,0,1,0,0,0,0,0,Yes,,1033,11/14/19
104701311,10470131,4,p4,Bathinda,Bhai Rupa Pati Kanger,Control,30.45621109,75.18906403,190.1000061,4.699999809,Yes,Yes,Stubble management ongoing,,Burning,0,1,1,0,0,0,0,0,0,,,1033,11/10/19
104702321,10470232,3,p3,Bathinda,Bhai Rupa Pati Kanger,Control,30.45633698,75.19745636,203.8999939,4.800000191,Yes,Yes,Stubble not managed,,,,,,,,,,,,,,1033,11/14/19
104702791,10470279,1,p1,Bathinda,Bhai Rupa Pati Kanger,Control,30.46358871,75.22182465,211.6000061,1.600000024,Yes,Yes,Stubble management ongoing,,Incorporating stubble into the soil,0,,,,,,,,,,,1033,11/10/19
104703391,10470339,1,p1,Bathinda,Bhai Rupa Pati Kanger,Control,30.42856789,75.25572968,234.6000061,4.900000095,Yes,Yes,Stubble managed,Created bales,,0,,,,,,,,,Yes,,1033,11/12/19
104703411,10470341,1,p1,Bathinda,Bhai Rupa Pati Kanger,Control,30.46415901,75.22200775,175.8999939,5,Yes,Yes,Stubble managed,Incorporated stubble into the soil,,0,,,,,,,,,Yes,,1033,11/12/19
104800071,10480007,1,p1,Bathinda,Bhaini,Control,30.35714149,75.15997314,218.1999969,4.5,Yes,Yes,Stubble management ongoing,,Burning,0,7,0,0,0,0,0,0,1,,,1034,11/10/19
104800261,10480026,2,p2,Bathinda,Bhaini,Control,30.34856796,75.14186859,216.5,4.300000191,Yes,Yes,Stubble managed,Burnt,,1,2 5,0,1,0,0,1,0,0,No,,1034,11/10/19
104800391,10480039,2,p2,Bathinda,Bhaini,Control,30.35647964,75.14706421,213.1000061,4.900000095,Yes,Yes,Stubble managed,Incorporated stubble into the soil,,0,,,,,,,,,No,,1034,11/10/19
104800561,10480056,2,p2,Bathinda,Bhaini,Control,30.34504318,75.17549896,197.1000061,4.800000191,Yes,Yes,Stubble managed,Burnt,,1,5 6,0,0,0,0,1,1,0,Yes,,1034,11/13/19
104800621,10480062,1,p1,Bathinda,Bhaini,Control,30.3371582,75.16178894,218,4.099999905,Yes,Yes,Stubble managed,Burnt,,1,6,0,0,0,0,0,1,0,Yes,,1034,11/13/19
104800821,10480082,2,p2,Bathinda,Bhaini,Control,30.34508514,75.16538239,195.3999939,4.5,Yes,Yes,Stubble management ongoing,,Burning,0,7,0,0,0,0,0,0,1,,,1034,11/10/19
104800871,10480087,1,p1,Bathinda,Bhaini,Control,30.35378456,75.16372681,213,3.900000095,Yes,Yes,Stubble managed,Burnt,,1,1,1,0,0,0,0,0,0,Yes,,1034,11/13/19
104800881,10480088,1,p1,Bathinda,Bhaini,Control,30.35377884,75.16338348,214.3999939,4.400000095,Yes,Yes,Stubble managed,Burnt,,1,5,0,0,0,0,1,0,0,Yes,,1034,11/13/19
105300051,10530005,1,p1,Bathinda,Bhukhianwali,PES 1600 /acres,30.05100632,74.8884201,194.8000031,3.900000095,Yes,Yes,Stubble managed,Burnt,,1,1,1,0,0,0,0,0,0,Yes,,1037,11/14/19
105300111,10530011,2,p2,Bathinda,Bhukhianwali,PES 1600 /acres,30.06227875,74.92165375,202.8000031,4.900000095,Yes,Yes,Stubble managed,Incorporated stubble into the soil,,0,,,,,,,,,Yes,,1037,11/11/19
105300121,10530012,1,p1,Bathinda,Bhukhianwali,PES 1600 /acres,30.07324791,74.93215179,193.8999939,2.900000095,Yes,Yes,Stubble managed,Burnt,,1,1 3,1,0,1,0,0,0,0,Yes,,1037,11/14/19
105300371,10530037,1,p1,Bathinda,Bhukhianwali,PES 1600 /acres,30.05678749,74.8782959,207.3000031,2.900000095,Yes,Yes,Stubble managed,Created bales,,0,,,,,,,,,No,,1037,11/14/19
105300531,10530053,1,p1,Bathinda,Bhukhianwali,PES 1600 /acres,30.06638336,74.8796463,181.6999969,4.599999905,Yes,Yes,Stubble managed,Burnt,,1,2 3,0,1,1,0,0,0,0,Yes,,1037,11/11/19
105300751,10530075,3,p3,Bathinda,Bhukhianwali,PES 1600 /acres,30.06653786,74.91991425,192.8999939,2.299999952,Yes,Yes,Stubble managed,Incorporated stubble into the soil,,0,,,,,,,,,Yes,,1037,11/11/19
105400641,10540064,2,p2,Bathinda,Bhunder,PES + 25% UCT 800/acres,30.19046783,75.2239151,206.8999939,5,Yes,No,,,,,,,,,,,,,,Good,1038,11/11/19
