resp_id,plot_id,district,village,plot_gpslatitude,plot_gpslongitude,plot_gpsaltitude,plot_gpsaccuracy,pv_paddy,harvested,sc_manage_status,sc_manage_type,sc_burn_straw_stub,sc_burn_straw_ash,sc_burn_resid,sc_burn_stand_stub,sc_burn_grass,sc_burn_trees_burnt,sc_burn_realtime,sowed,pv_visit_date,village_id,pv_burnt_any,pv_burnt,pv_burnt_alt,sc_burn_change_any
105402431,p1,Bathinda,Bhunder,30.209217,75.216347,201.39999,5,Yes,Yes,Stubble managed,Used CRM machine,.s,.s,.s,.s,.s,.s,.s,No,11-Nov-19,1038,0,0,0,
105402791,p1,Bathinda,Bhunder,30.202385,75.206673,206.5,3.9000001,Yes,Yes,Stubble managed,Incorporated stubble into the soil,.s,.s,.s,.s,.s,.s,.s,No,14-Nov-19,1038,0,0,0,
105403311,p2,Bathinda,Bhunder,30.195772,75.214172,212.10001,4.9000001,No,,,.s,.s,.s,.s,.s,.s,.s,.s,,14-Nov-19,1038,.s,.s,.s,
105403361,p2,Bathinda,Bhunder,30.198597,75.212791,207.89999,4.4000001,Yes,Yes,Stubble managed,Created bales,.s,.s,.s,.s,.s,.s,.s,No,11-Nov-19,1038,0,0,0,
105800051,p2,Bathinda,Bugra,30.322811,75.314087,218.60001,3.9000001,Yes,Yes,Stubble managed,Created bales,.s,.s,.s,.s,.s,.s,.s,Yes,12-Nov-19,1039,0,0,0,
105800311,p2,Bathinda,Bugra,30.307631,75.316017,205.7,4.5999999,Yes,Yes,Stubble managed,Used CRM machine,.s,.s,.s,.s,.s,.s,.s,No,10-Nov-19,1039,0,0,0,
105800331,p1,Bathinda,Bugra,30.308517,75.305344,208.3,4.6999998,Yes,Yes,Stubble managed,Incorporated stubble into the soil,.s,.s,.s,.s,.s,.s,.s,Yes,10-Nov-19,1039,0,0,0,
105800861,p1,Bathinda,Bugra,30.315092,75.313759,210.10001,4.8000002,Yes,Yes,Stubble managed,Burnt,0,0,1,0,0,0,0,Yes,14-Nov-19,1039,1,1,0,
105801051,p1,Bathinda,Bugra,30.308508,75.298653,216.5,4.9000001,Yes,Yes,Stubble managed,Used CRM machine,.s,.s,.s,.s,.s,.s,.s,Yes,10-Nov-19,1039,0,0,0,
105801131,p2,Bathinda,Bugra,30.321093,75.311981,205.5,3.7,Yes,Yes,Stubble managed,Created bales,.s,.s,.s,.s,.s,.s,.s,No,14-Nov-19,1039,0,0,0,
105801151,p1,Bathinda,Bugra,30.318247,75.30658,214.3,4.5,Yes,Yes,Stubble managed,Incorporated stubble into the soil,.s,.s,.s,.s,.s,.s,.s,Yes,14-Nov-19,1039,0,0,0,
105801181,p3,Bathinda,Bugra,30.310667,75.318314,222.3,4.3000002,Yes,Yes,Stubble managed,Used CRM machine,.s,.s,.s,.s,.s,.s,.s,Yes,14-Nov-19,1039,0,0,0,
105801261,p1,Bathinda,Bugra,30.318703,75.30304,211,4.3000002,Yes,Yes,Stubble managed,Incorporated stubble into the soil,.s,.s,.s,.s,.s,.s,.s,No,10-Nov-19,1039,0,0,0,
105900111,p1,Bathinda,Buraj Throd,30.472071,75.056381,161.10001,4.1999998,Yes,Yes,Stubble managed,Created bales,.s,.s,.s,.s,.s,.s,.s,Yes,16-Nov-19,1040,0,0,0,
105900231,p1,Bathinda,Buraj Throd,30.471519,75.062096,213.60001,4.9000001,Yes,No,,.s,.s,.s,.s,.s,.s,.s,.s,,16-Nov-19,1040,.s,.s,.s,
105900411,p1,Bathinda,Buraj Throd,30.461309,75.044464,206.3,4.8000002,Yes,Yes,Stubble managed,Incorporated stubble into the soil,.s,.s,.s,.s,.s,.s,.s,Yes,11-Nov-19,1040,0,0,0,
105900521,p1,Bathinda,Buraj Throd,30.452753,75.059425,207.5,4.6999998,Yes,Yes,Stubble managed,Burnt,0,0,1,0,0,0,0,Yes,16-Nov-19,1040,1,1,0,
105900531,p1,Bathinda,Buraj Throd,30.460329,75.047333,200.8,4.6999998,Yes,Yes,Stubble management ongoing,Used CRM machine,.s,.s,.s,.s,.s,.s,.s,,11-Nov-19,1040,0,0,0,
105900571,p1,Bathinda,Buraj Throd,30.470194,75.04483,185.39999,4.5999999,Yes,Yes,Stubble managed,Burnt,0,0,1,0,0,0,0,Yes,16-Nov-19,1040,1,1,0,
105900671,p1,Bathinda,Buraj Throd,30.454327,75.052078,186,5,Yes,Yes,Stubble managed,Burnt,0,0,1,0,0,0,0,No,16-Nov-19,1040,1,1,0,
105900691,p2,Bathinda,Buraj Throd,30.458057,75.054001,179.10001,4.8000002,Yes,Yes,Stubble managed,Burnt,0,0,1,0,0,0,0,No,16-Nov-19,1040,1,1,0,
105900711,p2,Bathinda,Buraj Throd,30.472799,75.056068,212.3,4.9000001,Yes,Yes,Stubble managed,Created bales,.s,.s,.s,.s,.s,.s,.s,No,11-Nov-19,1040,0,0,0,
105900741,p1,Bathinda,Buraj Throd,30.464521,75.058456,175.39999,5,Yes,Yes,Stubble managed,Burnt,1,0,0,0,0,0,0,No,16-Nov-19,1040,1,1,0,
105900851,p1,Bathinda,Buraj Throd,30.469643,75.052673,203.7,5,Yes,Yes,Stubble managed,Created bales,.s,.s,.s,.s,.s,.s,.s,Yes,11-Nov-19,1040,0,0,0,
105900941,p1,Bathinda,Buraj Throd,30.469948,75.056183,203.60001,4.9000001,Yes,Yes,Stubble managed,Incorporated stubble into the soil,.s,.s,.s,.s,.s,.s,.s,No,11-Nov-19,1040,0,0,0,
105901091,p1,Bathinda,Buraj Throd,30.465004,75.056923,204.89999,3.9000001,Yes,Yes,Stubble not managed,.s,.s,.s,.s,.s,.s,.s,.s,,12-Nov-19,1040,0,0,0,
106100181,p2,Bathinda,Burj Gill,30.390421,75.23951,203.10001,3.9000001,Yes,Yes,Stubble managed,Burnt,0,0,0,1,0,0,0,No,10-Nov-19,1042,1,1,0,
106100251,p2,Bathinda,Burj Gill,30.386669,75.229118,211.7,4.5999999,Yes,Yes,Stubble managed,Burnt,0,0,0,1,0,0,0,No,13-Nov-19,1042,1,1,0,
106100661,p1,Bathinda,Burj Gill,30.390198,75.233696,209.3,4.5999999,Yes,Yes,Stubble managed,Incorporated stubble into the soil,.s,.s,.s,.s,.s,.s,.s,Yes,10-Nov-19,1042,0,0,0,
106100701,p2,Bathinda,Burj Gill,30.403856,75.231735,219.7,4.1999998,Yes,Yes,Stubble managed,Used CRM machine,.s,.s,.s,.s,.s,.s,.s,No,10-Nov-19,1042,0,0,0,
