unique_id,a_hhid,resp_id.y,plot_id,district,pv_paddy,pv_visit_date,sc_manage_status,sc_manage_type,geometry,sc_burn_straw_stub,sc_burn_straw_ash,sc_burn_resid,sc_burn_stand_stub,sc_burn_grass,sc_burn_trees_burnt,sc_burn_realtime,sc_burn_change_any,burn_index
1104202141,10420214,104202141,p1,Bathinda,Yes,10-Nov-19,Stubble managed,Used CRM machine,"list(c(75.0894609466195, 75.089652724564, 75.0897704064846, 75.089853554964, 75.0899906828999, 75.0892919674515, 75.0888594612479, 75.0894609466195, 30.0175266221398, 30.0170441318132, 30.0166626666803, 30.0166800852115, 30.0163558097208, 30.0156439675932, 30.0173765336435, 30.0175266221398))",0,0,0,0,1,1,0,NA,2
1104700811,10470081,104700811,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Burnt,"list(c(75.2106465026736, 75.2093064039945, 75.2093167975544, 75.2106495201587, 75.2106465026736, 30.4464006736157, 30.4464266874596, 30.4474273480515, 30.4474363082819, 30.4464006736157))",0,0,0,1,0,0,0,NA,1
1104702791,10470279,104702791,p1,Bathinda,Yes,10-Nov-19,Stubble management ongoing,Incorporated stubble into the soil,"list(c(75.2134956791996, 75.2148723229765, 75.2148991450667, 75.2155747264623, 75.2155747264623, 75.2152612432837, 75.2152381092309, 75.2149122208356, 75.2148478478193, 75.2134983614087, 75.2134956791996, 30.4439692156916, 30.4439631456423, 30.4445426891216, 30.4445426891216, 30.4441507388962, 30.4441440907594, 30.4438426117278, 30.4438449241304, 30.4437229448163, 30.4437304601339, 30.4439692156916))",1,0,0,0,0,0,0,NA,1
1104703391,10470339,104703391,p1,Bathinda,Yes,12-Nov-19,Stubble managed,Created bales,"list(c(75.2553304284811, 75.2548959106206, 75.2548912167549, 75.2553344517946, 75.2553304284811, 30.4218778048123, 30.4218908150062, 30.4223857793146, 30.4223904051374, 30.4218778048123))",0,0,0,0,0,0,0,NA,0
1104703411,10470341,104703411,p1,Bathinda,Yes,12-Nov-19,Stubble managed,Incorporated stubble into the soil,"list(c(75.2186840772628, 75.2197878062725, 75.2197811007499, 75.2187333628535, 75.2186840772628, 30.4643219884436, 30.4642922225109, 30.4632336475544, 30.4631995463954, 30.4643219884436))",0,0,1,0,0,1,0,NA,2
1104800071,10480007,104800071,p1,Bathinda,Yes,10-Nov-19,Stubble management ongoing,Burnt,"list(c(75.1596848666667, 75.1597381755709, 75.1590719819068, 75.1589734107255, 75.1584138348698, 75.1583467796444, 75.1596848666667, 30.3570053569664, 30.3554630466635, 30.3554529207418, 30.3560040586736, 30.3560381972991, 30.3570406524719, 30.3570053569664))",0,0,0,0,0,0,0,NA,0
1104800621,10480062,104800621,p1,Bathinda,Yes,13-Nov-19,Stubble managed,Burnt,"list(c(75.1618899777531, 75.1625333726406, 75.1625665649771, 75.1619074121117, 75.1618899777531, 30.3374603959451, 30.337433195607, 30.3369514011317, 30.3369571884668, 30.3374603959451))",1,0,0,0,0,0,0,NA,1
1104800871,10480087,104800871,p1,Bathinda,Yes,13-Nov-19,Stubble managed,Burnt,"list(c(75.1639308035373, 75.1639284566044, 75.1646023616194, 75.1646174490451, 75.1653141528367, 75.1652450859546, 75.1639308035373, 30.3530435001938, 30.3538640059767, 30.3539007491989, 30.3564516208935, 30.3564568284573, 30.3530429215554, 30.3530435001938))",0,0,0,0,1,1,0,NA,2
1104800881,10480088,104800881,p1,Bathinda,Yes,13-Nov-19,Stubble managed,Burnt,"list(c(75.1633993908762, 75.1638845354318, 75.1639080047607, 75.163945890963, 75.1633786037564, 75.1633993908762, 30.3537317881263, 30.3537364172006, 30.3537254231487, 30.3527645960969, 30.3527463689343, 30.3537317881263))",0,0,0,0,0,1,0,NA,1
1105300051,10530005,105300051,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Burnt,"list(c(74.8889752104878, 74.8896400630474, 74.8889048025012, 74.8883106932044, 74.8889752104878, 30.0505890330279, 30.0501920256159, 30.0495445634767, 30.0500353117258, 30.0505890330279))",0,0,1,0,0,0,0,NA,1
1105300121,10530012,105300121,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Burnt,"list(c(74.9223633483052, 74.921760186553, 74.9224206805229, 74.9214406684041, 74.9218621104955, 74.9218828976154, 74.923295751214, 74.9232954159379, 74.9223633483052, 30.0736640946343, 30.0742208753242, 30.0747909992561, 30.0756535774635, 30.0759968078036, 30.0759912952378, 30.074729779999, 30.0744712660358, 30.0736640946343))",0,1,1,0,1,1,0,NA,4
1105300371,10530037,105300371,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Created bales,"list(c(74.8893490433692, 74.8891140148043, 74.8889929801225, 74.8891495540738, 74.8890737816691, 74.8884729668498, 74.8887834325432, 74.889263883233, 74.8898361995816, 74.8906066641211, 74.8901456594467, 74.8898284882307, 74.889583736658, 74.8893490433692, 30.0606074293005, 30.0603857314151, 30.0603633874907, 30.0603851510535, 30.0604005306349, 30.060861336609, 30.0610763593176, 30.0606268713688, 30.0609765377674, 30.0603015789464, 30.0599368206948, 30.0601988548015, 30.0604193923825, 30.0606074293005
))",0,0,0,0,0,0,0,NA,0
1105300531,10530053,105300531,p1,Bathinda,Yes,11-Nov-19,Stubble managed,Burnt,"list(c(74.8801956698298, 74.8809218779206, 74.8811696469783, 74.8817406222224, 74.8809513822197, 74.8798620700836, 74.8793718963861, 74.8790691420435, 74.8801956698298, 30.0659326722341, 30.0652507832098, 30.0653894827196, 30.0647824533034, 30.0641440818324, 30.0651184671783, 30.0646710287614, 30.0649864411372, 30.0659326722341))",0,0,0,0,0,0,0,NA,0
